subj,Group,age,age_lbl,angle,rt,angle_num,angle_lbl,angle_linear,angle_quadratic
1,1,-0.5,young,Angle0,450,0,0 degrees,-0.5,0.5
2,1,-0.5,young,Angle0,390,0,0 degrees,-0.5,0.5
3,1,-0.5,young,Angle0,570,0,0 degrees,-0.5,0.5
4,1,-0.5,young,Angle0,450,0,0 degrees,-0.5,0.5
5,1,-0.5,young,Angle0,510,0,0 degrees,-0.5,0.5
6,1,-0.5,young,Angle0,360,0,0 degrees,-0.5,0.5
7,1,-0.5,young,Angle0,510,0,0 degrees,-0.5,0.5
8,1,-0.5,young,Angle0,510,0,0 degrees,-0.5,0.5
9,1,-0.5,young,Angle0,510,0,0 degrees,-0.5,0.5
10,1,-0.5,young,Angle0,510,0,0 degrees,-0.5,0.5
11,2,0.5,old,Angle0,420,0,0 degrees,-0.5,0.5
12,2,0.5,old,Angle0,600,0,0 degrees,-0.5,0.5
13,2,0.5,old,Angle0,450,0,0 degrees,-0.5,0.5
14,2,0.5,old,Angle0,630,0,0 degrees,-0.5,0.5
15,2,0.5,old,Angle0,420,0,0 degrees,-0.5,0.5
16,2,0.5,old,Angle0,600,0,0 degrees,-0.5,0.5
17,2,0.5,old,Angle0,630,0,0 degrees,-0.5,0.5
18,2,0.5,old,Angle0,480,0,0 degrees,-0.5,0.5
19,2,0.5,old,Angle0,690,0,0 degrees,-0.5,0.5
20,2,0.5,old,Angle0,510,0,0 degrees,-0.5,0.5
1,1,-0.5,young,Angle4,510,4,4 degrees,0,-1
2,1,-0.5,young,Angle4,480,4,4 degrees,0,-1
3,1,-0.5,young,Angle4,630,4,4 degrees,0,-1
4,1,-0.5,young,Angle4,660,4,4 degrees,0,-1
5,1,-0.5,young,Angle4,660,4,4 degrees,0,-1
6,1,-0.5,young,Angle4,450,4,4 degrees,0,-1
7,1,-0.5,young,Angle4,600,4,4 degrees,0,-1
8,1,-0.5,young,Angle4,660,4,4 degrees,0,-1
9,1,-0.5,young,Angle4,660,4,4 degrees,0,-1
10,1,-0.5,young,Angle4,540,4,4 degrees,0,-1
11,2,0.5,old,Angle4,570,4,4 degrees,0,-1
12,2,0.5,old,Angle4,720,4,4 degrees,0,-1
13,2,0.5,old,Angle4,540,4,4 degrees,0,-1
14,2,0.5,old,Angle4,660,4,4 degrees,0,-1
15,2,0.5,old,Angle4,570,4,4 degrees,0,-1
16,2,0.5,old,Angle4,780,4,4 degrees,0,-1
17,2,0.5,old,Angle4,690,4,4 degrees,0,-1
18,2,0.5,old,Angle4,570,4,4 degrees,0,-1
19,2,0.5,old,Angle4,750,4,4 degrees,0,-1
20,2,0.5,old,Angle4,690,4,4 degrees,0,-1
1,1,-0.5,young,Angle8,630,8,8 degrees,0.5,0.5
2,1,-0.5,young,Angle8,540,8,8 degrees,0.5,0.5
3,1,-0.5,young,Angle8,660,8,8 degrees,0.5,0.5
4,1,-0.5,young,Angle8,720,8,8 degrees,0.5,0.5
5,1,-0.5,young,Angle8,630,8,8 degrees,0.5,0.5
6,1,-0.5,young,Angle8,450,8,8 degrees,0.5,0.5
7,1,-0.5,young,Angle8,720,8,8 degrees,0.5,0.5
8,1,-0.5,young,Angle8,780,8,8 degrees,0.5,0.5
9,1,-0.5,young,Angle8,660,8,8 degrees,0.5,0.5
10,1,-0.5,young,Angle8,660,8,8 degrees,0.5,0.5
11,2,0.5,old,Angle8,690,8,8 degrees,0.5,0.5
12,2,0.5,old,Angle8,810,8,8 degrees,0.5,0.5
13,2,0.5,old,Angle8,690,8,8 degrees,0.5,0.5
14,2,0.5,old,Angle8,780,8,8 degrees,0.5,0.5
15,2,0.5,old,Angle8,780,8,8 degrees,0.5,0.5
16,2,0.5,old,Angle8,870,8,8 degrees,0.5,0.5
17,2,0.5,old,Angle8,870,8,8 degrees,0.5,0.5
18,2,0.5,old,Angle8,720,8,8 degrees,0.5,0.5
19,2,0.5,old,Angle8,900,8,8 degrees,0.5,0.5
20,2,0.5,old,Angle8,810,8,8 degrees,0.5,0.5
